type,datasheets,image,corporatePartNumber,manufacturerPartNumber,manufacturer,description,unitPrice,packaging,series,resistance,tolerance,power,composition,features,temperatureCoefficient,operatingTemperature,sizeDimension
Resistor,http://www.ohmite.com/cat/res_slimmox.pdf,http://media.digikey.com/photos/Ohmite%20Photos/SLIM-MOX102%20SERIES.jpg,SM102F-2M-ND,SM102032004F,Ohmite,RES 2M OHM 1W 1% RADIAL,3.57,Bulk,Slim-Mox,2M,±1%,1W,Thick Film,Non-Inductive,-,-55°C ~ 110°C,"0.580"" L x 0.100"" W (14.73mm x 2.54mm)"
Resistor,http://www.bourns.com/data/global/pdfs/PWR220T.pdf,http://media.digikey.com/Photos/Bourns%20Photos/PWR220T-35%20SERIES.jpg,PWR220T-20-7R50F-ND,PWR220T-20-7R50F,Bourns Inc.,RES 7.5 OHM 20W 1% TO220,3.64,Tube,PWR220T-20,7.5,±1%,20W,Thick Film,"Automotive AEC-Q200, Current Sense, Pulse Withstanding",±100ppm/°C,-55°C ~ 155°C,"0.398"" L x 0.157"" W (10.10mm x 4.00mm)"
Resistor,http://www.bourns.com/data/global/pdfs/PWR220T.pdf,http://media.digikey.com/Photos/Bourns%20Photos/PWR220T-35%20SERIES.jpg,PWR220T-20-10R0F-ND,PWR220T-20-10R0F,Bourns Inc.,RES 10 OHM 20W 1% TO220,3.64,Tube,PWR220T-20,10,±1%,20W,Thick Film,"Automotive AEC-Q200, Current Sense, Pulse Withstanding",±100ppm/°C,-55°C ~ 155°C,"0.398"" L x 0.157"" W (10.10mm x 4.00mm)"
Resistor,http://www.ohmite.com/cat/res_slimmox.pdf,http://media.digikey.com/photos/Ohmite%20Photos/SLIM-MOX104%20SERIES.jpg,SM104FE-50M-ND,SM104035005FE,Ohmite,RES 50M OHM 1.5W 1% RADIAL,3.68,Bulk,Slim-Mox,50M,±1%,1.5W,Thick Film,Non-Inductive,-,-55°C ~ 110°C,"1.080"" L x 0.100"" W (27.43mm x 2.54mm)"
Resistor,http://www.ohmite.com/cat/res_slimmox.pdf,http://media.digikey.com/photos/Ohmite%20Photos/SLIM-MOX104%20SERIES.jpg,SM104FE-200M-ND,SM104032006FE,Ohmite,RES 200M OHM 1.5W 1% RADIAL,3.68,Bulk,Slim-Mox,200M,±1%,1.5W,Thick Film,Non-Inductive,-,-55°C ~ 110°C,"1.080"" L x 0.100"" W (27.43mm x 2.54mm)"
Resistor,http://www.ohmite.com/cat/res_slimmox.pdf,http://media.digikey.com/photos/Ohmite%20Photos/SLIM-MOX104%20SERIES.jpg,SM104FE-100M-ND,SM104031006FE,Ohmite,RES 100M OHM 1.5W 1% RADIAL,3.68,Bulk,Slim-Mox,100M,±1%,1.5W,Thick Film,Non-Inductive,-,-55°C ~ 110°C,"1.080"" L x 0.100"" W (27.43mm x 2.54mm)"
Resistor,http://www.ohmite.com/cat/res_minimox_200_300.pdf,http://media.digikey.com/photos/Ohmite%20Photos/MOX200001006FE.jpg,MOX200F-100ME-ND,MOX200001006FE,Ohmite,RES 100M OHM 1/4W 1% AXIAL,3.71,Bulk,Mini-Mox,100M,±1%,"0.25W, 1/4W",Thick Film,"High Voltage, Moisture Resistant",100ppm/°C,-55°C ~ 155°C,"0.087"" Dia x 0.256"" L (2.20mm x 6.50mm)"
Resistor,http://www.bourns.com/data/global/pdfs/PWR220T.pdf,http://media.digikey.com/Photos/Bourns%20Photos/PWR220T-35%20SERIES.jpg,PWR220T-20-R100F-ND,PWR220T-20-R100F,Bourns Inc.,RES 0.1 OHM 20W 1% TO220,4,Tube,PWR220T-20,0.1,±1%,20W,Thick Film,"Automotive AEC-Q200, Current Sense, Pulse Withstanding",±100ppm/°C,-55°C ~ 155°C,"0.398"" L x 0.157"" W (10.10mm x 4.00mm)"
Resistor,http://www.ohmite.com/cat/res_minimox_200_300.pdf,http://media.digikey.com/photos/Ohmite%20Photos/MOX200001007JE.jpg,MOX200J-1000ME-ND,MOX200001007JE,Ohmite,RES 1G OHM 1/4W 5% AXIAL,4.71,Bulk,Mini-Mox,1G,±5%,"0.25W, 1/4W",Thick Film,"High Voltage, Moisture Resistant",200ppm/°C,-55°C ~ 155°C,"0.087"" Dia x 0.256"" L (2.20mm x 6.50mm)"
Resistor,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773251&DocType=DS&DocLang=English,"http://media.digikey.com/Photos/TE%20Connectivity/MPR,%20CGS%20SERIES.jpg",A105521-ND,1-1623809-2,TE Connectivity AMP Connectors,RES 220 OHM 20W 5% TO220,5.21,Bulk,"MPR, CGS",220,±5%,20W,Thick Film,"Flame Proof, Non-Inductive, Safety",±50ppm/°C,-55°C ~ 155°C,"0.417"" L x 0.177"" W (10.60mm x 4.50mm)"
